+----------------------+-------------------------------------------------+---------+----------+----------+-------------------------------------+--------+------------+------------------------------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                                                             |
| The block and item IDs are dynamic and will be different on each world!                                                                                                                                                                     |
| DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)                                                                                                                                   |
| *** ALSO ***                                                                                                                                                                                                                                |
| The server doesn't have a list of sub block and sub items                                                                                                                                                                                   |
| (= items with different damage value or blocks with different metadata).                                                                                                                                                                    |
| That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.                                                                                                                   |
+----------------------+-------------------------------------------------+---------+----------+----------+-------------------------------------+--------+------------+------------------------------------------------------------------------+
| Mod name             | Registry name                                   | Item ID | Meta/dmg | Subtypes | Display name                        | Hunger | Saturation | Ore Dict keys                                                          |
+----------------------+-------------------------------------------------+---------+----------+----------+-------------------------------------+--------+------------+------------------------------------------------------------------------+
| Advanced Fishing     | advanced-fishing:fish                           |    4801 |        0 |     true | Jellyfish                           |      1 |        0.1 |                                                                        |
| Advanced Fishing     | advanced-fishing:fish                           |    4801 |        1 |     true | Magma Jellyfish                     |      1 |        0.1 |                                                                        |
| Advanced Fishing     | advanced-fishing:fish                           |    4801 |        2 |     true | Mud Tuna                            |      2 |        0.1 |                                                                        |
| Advanced Fishing     | advanced-fishing:fish                           |    4801 |        3 |     true | Frost Minnow                        |      2 |        0.1 |                                                                        |
| Advanced Fishing     | advanced-fishing:fish                           |    4801 |        4 |     true | Piranha                             |      2 |        0.1 |                                                                        |
| Advanced Fishing     | advanced-fishing:fish                           |    4801 |        5 |     true | Golden Koi                          |      2 |        0.1 |                                                                        |
| Advanced Fishing     | advanced-fishing:fish                           |    4801 |        6 |     true | Specular Snapper                    |      2 |        0.1 |                                                                        |
| Advanced Fishing     | advanced-fishing:fish                           |    4801 |        7 |     true | Cave Trout                          |      2 |        0.1 |                                                                        |
| Advanced Fishing     | advanced-fishing:fish                           |    4801 |        8 |     true | Obsidian Bream                      |      1 |        0.1 |                                                                        |
| Advanced Fishing     | advanced-fishing:fish                           |    4801 |        9 |     true | Nether Sturgeon                     |      1 |        0.1 |                                                                        |
